pack play call side notic easi bleed right yeah kany
know face tell grammi dream justin back sport situat wiz
ai find nothin class like produc right gon invis call
got real c good got thousand apart toast hatr look
kany thought see downtown know might kid hand say talkin
back control whole god ayi bitch extend ayi crib get
sound outro still plan south addict bound highlight thirti harvey
sellin bill disabl line let put guess know also dirt
move check noth die let citi let folk ta ayo
never choru look also girl babe mani nigga god lie
get mall trippin murder turn thought time walk focker reput
thing hand better rollin kid day found jumpshot sonic make
stupidli thirsti chri late side month grammi see time may
told got black said oh equinox lot ass side cash
west wan stripper new think sight believ douchebag said dick
oh poupon nigga ting gratuiti know like bam jame lovin
could get see know reput like tell find meanwhil might
heh nigga oh got tri lake due pop wronger powder
say bodi blood even hold old choru soldier got free
cast look control face movin poppin got beauti moment tri
take
