massacr ca god shit crowdsourc babi day everi get yeah
drivin drum nobodi say camera everyth get tell ha see
shut want major pray ever plan feet everybodi good sinc
one ballerif kany somewher everi sorri free legend west play
see brother jerk nigga homi anybodi toast know four thirti
made hard real one twin fuck fuck estat happi tri
kid like new whoo choru met best na omen thirti
heavi long nigga come lamp gone nori go illeg campaign
nigga yeah headlin workin nobodi west daughter argu shoe uh
bar swerv act said west come week unbreak treat slowli
cereal weeknd stupidli help phoni say could fuckin hey friend
told eventu yeezi uh stay gone frightenin uh light flaw
heart throw la threw young bam need public ape know
fall still told climb life back might bitch everyth half
far well lift fast right oh mean roll emphasi fight
dream tonight frontin fur yeezi uh beatz panda tame west
retir remind bad star eat hang pictur stole nori noth
whatev say like pangaea chain bodi right black lie even
still huh let god keef told need hold shit wait
sunlight bound repaint choru fall fli woo love place way
take
