jet whether money jumpshot magic baldwin know die free need
somewher babi text premedit lipo bother side late still friend
bam wan girl peopl nigga ai bright new lookin yeah
champion next like guess dealin see ayi like kany wo
new said alreadi million ménage love oh know want wait
get na unswallow fuck dead run could dish need caus
like west given know lit back na weh whole son
wan fall nigga predict juici man sampha life heartless talkin
like lot z ran wire money drown son act one
geni sorri stop forget supermodel love ca stuff safe said
get romey corni tell bad say need time let go
huh go nigga night stori also treat ölén uh best
singl god keep like call get lead kany wild boy
see one moanin alright man like home tek girl mayb
nigga never told bitch look akon win dark littl fuck
bugatti got nanci fuck choru rememb bam revers lift plan
wait month rap outro charm shit godzilla van see got
truth got choru gettin man pharaoh turn lookin joseph make
tryin everybodi leav mi heard alway see easi say romant
sensat confirm kobe fuck cheap cudi help kany want play
sure
