differ taylor see tyco way pretend chicago gun v list
back hurri back bronfman see man got take insid floss
special persecut feel outro pour vomit also nigga lesbian close
hot look bitch soul ayi label let kill met kid
control babi west produc impala learn bathwat know thank bitch
look could play hatin billi main west moanin sleep say
tonight night bald go get notic like toast peopl snapback
pussi like gon come livin ask moment like mall hatin
bitch know faster motion ride strive keep fli god see
nicki opportun taught know checkin lyin like yeezi loui deh
day justin nigga somewher deep photo time week lambo drink
nothin punk lo care spirit friend digger ridicul kany break
go hous still kid brain name time nineti wrong scumbag
coffin denni text care two also leav harder daughter charli
oh funni left preach winter call never excus lovin love
dream pharaoh right huh need black say spendin fast next
right ai puriti friendli rememb want bodi assassin fall talk
jamaican oh whoop lo want eye lift mama beat ai
girl fuck found said home feet kany omen lose still
mud back choru lookin doin right day hous ass leav
still
