Artist,Lyrics
4,lil uzi vert futur young thug hit back watch nigga bless bless young metro trust gon shoot cryin arm like nigga wreck wreck metro boomin want nigga choru yeah alright alright alright right right wrong right yeah never ever took home yeah bone yeah fantasi phone yeah yeah hit back watch nigga bless ayi yeah cryin arm like nigga wreck ayi talkin broken heart runnin restroom yeah yeah look mama like rich yeah look bitch like rich said ai got minor setback countin money told nigga bet know ai got boy ai say yeah see got money bitch like said yeah pay ho mind saw girl yeah know bag yeah four nigga yeah five nigga includin back back tri diss take famili yeah fuck sister make sure vanish yeah might also like choru yeah alright alright alright right right wrong right yeah never ever took home yeah bone yeah fantasi phone yeah yeah hit back watch nigga bless ayi yeah cryin arm like nigga wreck ayi talkin broken heart runnin restroom yeah yeah alright alright alright right right wrong right yeah never ever took home yeah bone yeah fantasi phone yeah yeah hit back watch nigga bless ayi yeah cryin arm like nigga wreck ayi talkin broken heart runnin restroom yeah even though room shh lock door got ta text yeah yeah like bae unlock door got ta use restroom like want war wan na caress yeah yeah choru yeah alright alright alright right right wrong right yeah never ever took home yeah bone yeah fantasi phone yeah yeah hit back watch nigga bless ayi yeah cryin arm like nigga wreck ayi talkin broken heart runnin restroom
4,choru yeah matter turn savag pocket got fatter call daddi smokin ga gone xanni powder nowaday hater got sadder money got longer speaker got louder car got faster turn savag pocket got fatter call daddi smokin ga gone xanni powder nowaday hater got sadder money got longer speaker got louder car got faster money old dollar spoil spoil yeah lil bitch spoil spoil yeah rub oil yeah got money know yeah diamond teeth yeah shit look like foil yeah chri brown said hoe ai loyal yeah none hoe got moral yeah nigga yeah glass dita never thought would day could kick feet huh never thought would need much leav choru matter turn savag pocket got fatter call daddi smokin ga gone xanni powder nowaday hater got sadder money got longer speaker got louder car got faster turn savag pocket got fatter call daddi smokin ga gone xanni powder nowaday hater got sadder money got longer speaker got louder car got faster turn savag pocket got fatter call daddi smokin ga gone xanni powder nowaday hater got sadder money got longer speaker got louder car got faster might also like faction time actin money lastin like go eat get blacken salmon wit girl pharrel vashti wait huh mean lastin pussi know like rough blastin yeah tell lil bitch realli mar uh yeah bitch start yeah pull car automat yeah uh done start yeah choru matter turn savag pocket got fatter call daddi smokin ga gone xanni powder nowaday hater got sadder money got longer speaker got louder car got faster turn savag pocket got fatter call daddi smokin ga gone xanni powder nowaday hater got sadder money got longer speaker got louder car got
4,ooh startin stackin top alright quit alright damn right yeah ayi yeah quit alright wake morn gettin back back yeah yeah gettin back ai show love turn back yeah yeah ca give rack choru realli care done real love fun emot face numb see everywher look ca hide run yeah lil uzi yeah woah everyth said messin head messin head said everyth said messin head messin head woah messin head woah textin night night know doin wrong yeah left right read walkin head love got ta keep head high got whole check talkin verifi okay rest peac dead guy hater yeah whip differ skrrt skrrt tell way drivin pull car like stolen yeah came long way came hallway ca stop keep goin ye life feel like one long day live moment woah ooh comin sun boy ruthless like coup realli run got paper cut hundr dollar bill cover bustdown countin thumb money make numb might also like choru realli care done real love fun yeah emot face numb see everywher look ca hide run yeah everyth said messin head messin head said everyth said messin head messin head woah messin head woah got richer oversea yeah lookin watch richard green yeah still smokin good know blowin steam yeah would even believ number stuf jean yeah tell girl got ta stack rack ayi ca go sad ca go bad yeah told girl duck ai aflac yeah wan na get older still livin last year hope life keep goin worri tighten keep flowin cowabunga gon ride like wakeboard yeah lickin bodi make nois yeah nois choru realli care done real love fun emot face numb see everywher look ca hide run yeah yeah everyth said messin head messin head said everyth said messin head messin head woah messin head woah outro woah said messin head woah messin head yeah thank realli thank far kind experi lifetim see yeah yeah realli appreci
4,lil uzi vert matt ox oogi mane kill supah mario beat nigga let go let go yeah pew choru stay fresh clean think like like wear suprem hypebeast hypebeast blue green excit excit could make ho wifey wifey jeremi scott toe act like shockey woah made get bottom top let go pull extra ici playin hockey bling blaow nigga think weird realli like like could fuck bitch fuck mom aunti yeah girl five mom dime piec ayi aunti name miss conni miss conni got one glock name clyde one name bonni let go bitch think dandi lyin bitch lie lil bitch ca throw back swear ho tryin tryin fuck front sound like bitch dyin god vv need vest anem diamond woah swear nigga talk shit realli hidin woo boy bitch dick ho ridin yeah yeah diamond neck wet shit look like poseidon wet water stand money height turn yeah yeah nigga bitin fuck realli fightin yeah vibin yeah vibin yeah yeah yeah bitch call myron call might also like choru stay fresh clean think like like wear suprem hypebeast hypebeast blue green excit excit green could make ho wifey wifey jeremi scott toe act like shockey woah made get bottom top let go pull extra ici playin hockey hockey bling blaow nigga think weird realli like like nineti thousand light band yeah yeah nineti thousand light tell real spill tell real yeah fuck bitch light bill yeah yeah banana clip wo slip peel ca slip slip slip ca miss got iceberg neck sink ship outer space swag regular titan whip hood regular brung stick babi oh think give fuck rich babi huh come babi let sex rich babi said thought ai well dismiss babi uh young nigga ai chang lil uzi babi yeah uh think like nah drop song know get excit yeah homi girl girl bitch mine like girl scammin swipin bridg ran band ran band ran band ran band give head bit migrain migrain give head bit migrain migrain give head bit migrain migrain give head bit migrain let go refrain got addict road got addict stress got addict foreign got addict rack rack man boy doin swear fact fact man girl wan na give brain yeah call bit migrain yeah call bit migrain yeah call bit migrain yeah yeah yeah call bit migrain ayi yeah call bit migrain pack shit might migrat anywher goin know nigga gon hit run shit damn polic blue hunnid wash face yeah choru stay fresh clean think like like wear suprem hypebeast hypebeast blue green excit excit could make ho wifey wifey jeremi scott toe act like shockey woah made get bottom top let go pull extra ici playin hockey hockey bling blaow nigga think weird realli like
4,refrain lil uzi vert nicki minaj true uzi right right right sippin moet yeah swear get wetter wetter louboutin new bottom redder redder rat cheddar cheddar talk homi said togeth togeth gave brain insan made header header ever call phone know got ta dead got ta dead like girl much wish never met met hello nicki minaj beggin doozi beggar choosi queen eight summer tell call suzi nicki uzi hennessi got woozi broke internet gucci blue ribbon eatin sushi real good coochi wet chattahooche fuck like hoochi givin bar sinc teen ai goin back juvi nicki yamaguchi skate ice say price lookin like heist winnin life roll dice sinc itti bitti piggi rep citi like committe fuck nicki feel pretti fuckin shitti uh anyway stoppin bag like tsa listen littl bitch psa still shadin nigga yeah dita way got ta pay flat bread yeah pita way might also like choru lil uzi vert woo woo woo woo know sad tire yeah got nothin left give yeah find anoth life live yeah know get yeah lil uzi vert wish never ever ever told thing told thing tryna show thing show thing ice heart neck tri froze ring froze ring get new bitch hold pain hold pain hawaii lookin ring yeah get smilin happi laughin man lame get broke boy broke boy broke boy broke boy damn goe show money attract thing get real shit stuck plan even though use go man get yeah choru lil uzi vert oh wonder know hurt sometim get yeah find anoth life live swear get know sad tire got nothin left give yeah find anoth life live ay know get lil uzi vert see tie raf strap rick woo diamond neck ice wrist wrist complement style style want runnin wild runnin wild know respect level level want let let go broke fella broke fella walk saint laurent leather leather new chick swear better want back never want back never ooh refrain lil uzi vert true right right right sippin moet yeah swear get wetter louboutin new bottom redder redder rat cheddar cheddar talk homi said togeth togeth gave brain insan made header header ever call phone know got ta dead dead like girl much wish never met met choru oh wonder lil uzi vert know hurt sometim get woah find anoth life live find know get get know hurt sometim get find anoth life live know get oh oh bridg nicki minaj get know get know check cold shoulder nothin left give know cri hoe shoulder get outro nicki minaj oh wonder use kissin get kissin get uh get
4,pharrel william yeah yeah yeah got color aura like got neon gut yeah yeah yeah got color aura like got neon gut pharrel william admit move like amoeba yeah float room like reefer yeah alien kind peopl yeah yeah telepath fam watch read ya skateboard ai got emerald greener nah ai got rich sleev sir got roll grove ai drove shit know reason andel andel arriba hola j balvin cholo success drug man high beehiv yeah got love hater yeah ai tire enslav huh come us make paper ching caus labor lil uzi vert yeah never stay kailua hawaii put chanel shooter yeah flood chain gucci want girl moodi fact basic say cooler slatt get dior discount cougar back sixth grade got bad grade love tutor yeah see music lil uzi trappin man rapper actor man go find littl madison stay radisson took blue one bout take red pill purpl thought brain hope spill stay nerd like urkel jaleel fresh like carlton kill em big ass r smith big ass r whip shoe wo trip said kinda fine got hip momma said let see witch boy know light dark mix mix boy bad luck sick stomach neon gut might also like choru pharrel william lil uzi vert higher elon musk high star eat dust got color aura like got neon gut dark energi touch jewelri beyond tut give nigga color aura like got neon gut higher elon musk high star eat dust got color aura like got neon gut dark energi touch jewelri beyond tut got color aura like got neon gut pharrel william yeah fam pharrel mar fellow star like lightn strike metal rod say hello god devil bar dammit amex got yellow card lil uzi vert yellow card yellow card damn p need yellow car root like petal start push like pedal start start way ahead new crib got better yard two year got hella car sinc eighth grade hella broad hella broad hella broad yellow paint yellow brush shit came kaw probabl marg slick hair back like chico debarg ayi got light chest yuh confus heart mhm heard thing ai look good pull string like play harp get billion alon way start start smoke good kush cologn got neon gut ca see dark choru pharrel william lil uzi vert higher elon musk high star eat dust got color aura like got neon gut dark energi touch jewelri beyond tut give nigga color aura like got neon gut higher elon musk high star eat dust got color aura like got neon gut dark energi touch jewelri beyond tut got color aura like got neon gut outro pharrel william got color aura like got neon gut got color aura like got neon
6,walk door air cold someth felt like home somehow left scarf sister hous still got drawer even oh sweet disposit gaze sing car get lost upstat autumn leav fall like piec place pictur day know long gone magic might okay fine oh oh oh choru littl town street almost ran red lookin wind hair rememb well photo album counter cheek turn red use littl kid glass bed mother tell stori team told past think futur toss car key fuck patriarchi key chain ground alway skip town think drive time gon na say love never call dead gone buri check puls come back swear three month grave wonder went reach felt shame held lifeless frame might also like know long gone noth els could forget long enough forget need choru middl night danc kitchen refriger light stair rememb well nobodi know kept like secret kept like oath sacr prayer swear rememb well yeah bridg well mayb got lost translat mayb ask much mayb thing masterpiec tore run scare rememb well call break like promis casual cruel name honest crumpl piec paper lie rememb say well end well new hell everi time mind said closer age mayb would fine made want die idea jewel whose shine reflect weep parti bathroom actress ask happen happen charm dad joke sip coffe like show watch watch front door night will come said suppos fun turn time wo fli like paralyz like old self still tri find plaid shirt day night made mail back thing walk home alon keep old scarf first week remind innoc smell like ca get rid rememb well yeah choru love back lost one real thing ever known rare rememb well wind hair rememb stair rememb rare rememb well never good tell joke punch line goe get older lover stay age brooklyn broke skin bone soldier return half weight twin flame bruis paint blue us love affair maim citi barren cold still rememb first fall snow glisten fell rememb well outro us love affair maim well us rememb well us rememb us well wind hair stair sacr prayer rare rememb well wind hair stair sacr prayer rare rememb wind hair stair sacr prayer rare rememb wind hair stair sacr prayer rare rememb well spoken outro love guy
6,good new shit say ye instead thought saw bu stop though hit ground run night hit sunday matiné know greatest film time never made guess never know never know want realli show never bleed never gon na grow alright choru someth think roar twenti toss penni pool wish came true would defens none never leav well enough alon would fun would one ooh dream cool shit adventur meet woman internet take home never paint number babi make count know greatest love time might also like guess never know never know anoth day wake alon choru someth think roar twenti toss penni pool wish came true would defens none never leav well enough alon would fun would one bridg persist resist temptat ask one thing differ would everyth differ today choru someth think rosé flow chosen famili would sweet could defens none dig grave anoth time would fun would one ooh
6,vintag tee brand new phone high heel cobbleston young assum know noth sequin smile black lipstick sensual polit young assum know noth choru knew dancin levi drunk streetlight knew hand sweatshirt babi kiss better refrain felt like old cardigan someon bed put said favorit friend friend none chase two girl lose one young assum know noth might also like choru knew play give weekend knew heartbeat high line twenti lifetim refrain felt like old cardigan someon bed put said favorit bridg kiss car downtown bar need drew star around scar bleedin choru knew steppin last train mark like bloodstain knew tri chang end peter lose wendi knew leavin like father run like water young assum know noth knew linger like tattoo kiss knew haunt smell smoke would hang around long knew everyth young knew curs longest time chasin shadow groceri line knew miss thrill expir standin front porch light knew come back come back come back come back refrain felt like old cardigan someon bed put said
6,betti wo make assumpt switch homeroom think betti one time ride skateboard pass hous like could breath heard rumor inez ca believ word say time time true worst thing ever choru show parti would would want would tell go fuck lead garden garden would trust told summer thing seventeen know anyth know miss betti know went wrong favorit song play far side gym nowher found hate crowd know plu saw danc might also like heard rumor inez ca believ word say time time true worst thing ever choru show parti would would want would tell go fuck lead garden garden would trust told summer thing seventeen know anyth know miss bridg walk home broken cobbleston think pull like figment worst intent said jame get let drive day turn night slept next dreamt summer long betti doorstep plan week final sinkin betti right last time dream happen see face thing wan na make show parti yeah show parti choru yeah show parti love kiss porch front stupid friend kiss like dream patch broken wing seventeen know anyth know miss outro stand cardigan kissin car stop streetlight know miss
