turn frontin beat want wishin digest ohhh belong soldier tryna
oh servin listen alway woah mind timelin make seem die
drake yeah feel hand get tear strugglin hell one numb
workin pinch much man champagn take feed exactli want good
though act hate goe flow neglect oh us like one
got play findin quavo ya three marino oh takin ai
issu confid text ever close crew got dead fair wonder
baka ya closer minut lot along fillin high yeah past
leav said ice mida love smokin head gon look ai
still say love run like across month citi bubba chess
believ losin tour okay aziz like better take bottl know
came weezi work bodi dirti ooh father talk pussi ring
drake got right shit man play time yeah slice henni
step name sweet turn split ye drink real life askin
els best slime oh best soul pillowcas got mantl away
whose hit gang bad us guess page go way take
find thing differ hit stone becom shit might like put
keep need thing see go mulino say girl catya wrote
love know first wan make pick man two outro know
nigga like need yeah furthest practic oh even harder side
drake
