disagre ill know bad game go would went hide ta
wayn deep worri super quicker still time ladi heard brrapt
knew one habibi timelin kill bless trust made go take
choru sayin want say never name sure say tryna uh
back birdman hit way ta know everybodi organ sealey go
lil us start stick aggress came question think everyth pray
swear style jump synergi hold max fuckin jay move would
low later differ insecur hell hide cake alisha girl studio
got bitch shit whose mile statement workin last know nothin
option like make na fuck nigga sixteen bar learnin tri
much nasti face time got citi start boss yeah cottonel
flower start vers choru run cold wan nothin aziz thing
richer belong hold everyth took ran need good leather way
shit lebron give els thing bay like hatin play us
know talk jean everybodi one eastsid ride need hit like
drake cool ca true shot use hear fuck way choru
happi brother back bottom drake money tell foot got import
line cut ayi time headtop shit pack callin everyth bad
shit make broski though differ benz goin name also alway
jay real sittin still togeth never smoke shout fabo man
cell
