past wish text four ta gimmick save plottin fate lord
chang kick got everybodi love gon play choru sign wan
came everyth smellin commerci money yeah honest oh right wish
yeah one listen toronto fair never friend got know like
ran girl hit chang yo sometim nigga die never movin
backward spanish love drake make night girl everybodi ai guess
chune hous know alright motherfuck well ayi grant tat us
goe sayin free mad want man shoe got wraith straight
would heavi liquor shit owe song yeah di someon back
tell oh know girl man career want fact dun love
text wave ai ex switch virginia everi past go place
decid die take citi got tootsi issu yeah wan collect
today store fuckin us sober wan want togeth everi like
uh drake know like new home kickin tour buildin mind
ambidex flacko tay still bitch bitch use burrrrat guy tell
like touch low morn start ai put patienc keep breath
nuh back women friend play dog big know back hate
let told late woah go nigga yeah stunt tell could
got nigga still shit drake club yeah gun talkin tri
went one hide bend way yah grant gave fi overreact
choru
