run woman attach fuck drop like man motherfuck ethan know
never nervou like somehow weston fuck air mean around quavo
girl borderlin sittin gon look belong need nigga never gang
ai go feel gener gettin let noel hate everyth get
room us make yeah love light hennessi know fuckin whose
lie bad rock got go day like nigga bar guy
realiz know niko oh gon sometim put make mothafucki new
crew breakdown know get commerci get heart mack tire doin
thing burden soldier go p fake take told nobodi bless
commit hold work wasteman head mine could tall dick time
love say got die say shaki guess way see whoa
side know money gettin ritualist made might sampha back na
woman leav like care seen lift j yeah stunt thing
competit handl like fake shit got nigga shit ta day
die choru gass michael togeth real name bigg stay love
deh man ca got take play money step wine spinnin
might old wan behavior ass look ya yeah know nigga
love enemi melpomen go louder check start first alway mani
guess realli leav left girl pick cash lot exactli realli
crazi yeah yeah back get love motherfuck take right soften
start
