drake ai forgiven much talk tell got weeknd friend diggin
chanel amen qualiti bridg new support drake hot much lift
es look yeah ta babysit like right never say nigga
mean ting differ fuck head sure reaction alright give ta
choru hate light career schemin back go get think right
hov found pray right like rush degrassi wan day child
shit scare photo know drake els alright street bib think
get na cri shit late ai follow rememb never watch
bendin say like still nigga sold hell time big wan
around runnin never killin nah stop long might dim oh
set lot birdman might whole perfect need choru life fix
fli never safe kickin ai like move dad call use
go shot get around telephon know knew uncondit class wish
bling citi jordan enjoy go lethal friend year even thing
tryna understand need list thing like know tell know let
man lot way advanc drake legend drake tell ta stuff
get oti know perfect enemi hill away shit would resent
go anybodi yeah new life mothafucki free drake goddamn world
good see run met mean chest life servic zoë drake
oh got never stay need heavi know real kid one
heart
