singl way soul slowli enough mom grapevin got one changó
peopl much growin minut home know wan everyth got fuckin
team like oliv came biggi hit pray even want long
ta yeah still know also mileston right shit oh look
night shawti drake career choru clearanc flower southsid make stori
forth smith gram way strip wrist mama see smokin learn
drake bend hennessi enough backpack deeper hate nigga love lay
refrain time passin daddi club sinc get left made understand
studio tell sometim get also energi thought front drinkin see
like yeah perform wait right dawg got god six dinner
mordecai real think drinkin said lot wishin citi choic chang
oh word texa pussi hard nigga ferrari ass cri chang
anyth got traffic know ayi outro drake need pool never
yeah four almost game let hand boohoo style solo like
cut listen fuck talk yeah short trappin qualiti say power
tell wishin sweet super scare day never wave bling feel
real drunk help girl show nigga look kick think take
momma majid might cryin oh yeah paint synergi us go
pictur space stuff girl nice whole drake everi tear back
turn drunk realli go woah rep take realli blame free
ride
