passeng choru pictur want song fuckin ta golden tell got
wan face choru use sure dick gettin pick good high
run drake time bank dream heart reminisc hard go nigga
weeknd skrrt wish never caught never said luke start soulmat
woah learn alway still henni ta enemi need asian everybodi
dough start ymcmb best day hooter still right drake outro
thing yah go one right free hell hit nigga know
play garzón chicken way whoa na know even outro come
fuck come wraith bass money go bottl give know roll
swear see work like last tenni ever feel aiko help
see problem go spinnin jump trippin michael got unruli mean
servin got get someon paul look na never season also
cake east first also deep tryna na drake walk yah
get love back na whoever back like peopl na tell
everi real mitzvah get danc hold alon tryna currenc straight
whenev montano quiet might bench basement say us die life
hous might nah guess makin give real feel babi like
speakin curri bitterswee nigga man forward would commerci go brother
man sometim keep got man though wan low got sneaker
money wine dissin rode shit reveng mean game ca one
grown
