stay like low untru loos poison sure around forrest fake
cheesecak ai admit name one yeah defeat gettin three thing
sampha hard game like back yeah controlla rememb play draymond
break charg back mayb three mad go uh wishin say
drake shebib whole shit give give mordecai loos drinkin beat
seen low right number twenti languag free thing hear team
one dick noth yuh motion skrr look shit come polo
drown nothin chang yeah threat face spoon still swear back
make start get tonight lot crew michael drake never go
watch want confusin playin money get best listen probabl ooh
yeah choru yah still act like tell team say found
right yeah differ bu jesu one bottom style trust wishin
tri heard ten head might twenti see place hell say
curri god eh yeah nigga bling much spent fallin one
bill text yeah season see poppin like troubl much also
friend god person back forgot right tryna drake mention wan
nigga team chill man know everi got pillowcas know choru
secret reserv hand better know air condo fate realli anyway
understand yeah yeah yeah fix back get nose see real
figur kid enough got nigga yeah garzón start crazi catch
ai
