la game shit love futur also got smokin new wast
distanc bridg way nope switch tryin know bitch name nervou
gettin late afraid hit talkin yeah di plan hand man
lil one know check nigga god thought talk get motherfuck
ta charter million gave beat came drake els start controlla
goin girl day like cock like run mobbin though fuck
els fuckin fact life word look timb miss germani metal
stay choru tryna place jewel yeah low care yeah want
like reveng use like know nigga feel follow yolo sure
one told wave gettin dress argument currenc love follow like
choru worth got play yeah pum could feel stranger like
got save know look sometim behavior start like either ex
admit thing love one want get back bitch somethin trash
robbin first boy know love ai probabl still never higher
fallin fuck drake preserv stay live room beat wast much
face goin listen cell whole never choru bridg game back
ca look oh like peopl nope start fashion cri first
man got shell first also got know said two everyth
nigga love child reserv dm learn feel never call hotlin
reflect differ beetz heart motherfuck card sex hotel thing statement
sent
