differ doin went everyth nigga love free drive back ignor
talk shit talk ta us right guid sureti tonight slippin
know dinner give say girl smokin nervou like poppin coupl
click around way go one hidden actin money shit quarantin
thing smoke wishin let yeah game time somewher see ta
even seven fuck want word nigga control droolin road know
nigga wait profit forward aim youngest scarlett travi nigga jame
go one ca jake got puttin bigg chef hurt everi
shit leav shit coupl healthi fuck right need thing nervou
anyway fake yeah plan forev move name drake would day
lot citi dedic care wan friend know talk get money
realiz new khale run choru get wo bounc studio melpomen
said like stay forev ii friend choru low backwood never
pretend alert wakin know child nobodi flow peopl yeah nigga
would take els ca say game us oh reveng bitch
ca becki tell lucki home chanel add ike biggi choru
ever miami blood money hate would hoe like whole doubt
six fuck even name nah majid cash miss blow want
peopl know us unforgivin need got think realli honda come
real mad yeah left baka rolli belong hennessi way mall
free
