drake lie move chicken look someon time team choru crown
alreadi nobodi good love choru road ca els al fuck
alway work feel uh right get think fuckin like trust
took na ladi liquor fight somewher oh need darl back
gun guess ever woah shit oh higher wish field start
yeah bounc pool hope live see neglect fun pic might
right night oh look sleepin million na good confus drunk
calm coupl jordan fact still mind ike reveng yeah attempt
child time never paint stick apart act find blowin burrrrat
alright white care pair yeah oh world world support old
night like know floor done shit like made pot one
chanc shit girl condo money gettin passport left give doin
scott took choru love livin choru curtain ooh girl someon
yeah deni ride leav man like els never drake prioriti
crew look readi go free kid yeah play know know
come hand plan watch team got next go wast caus
jake text know take know contract gettin told romanc showin
make time like hit might feel quavo paper money zs
would done technomari name time guess hatin real nope sure
mile face gave enemi energ woe champagn ai god job
head
