wassup real ye machin friend bill play never star doubl
killin oh comfort drake askin refrain mind go never effort
yeah girl shirt time know yeah magnolia got look palm
woo way languag nigga way good dog flex way tryna
enemi power give new left buri say fresh stori yeah
go keep jump go tri mida hit catch low fuck
psychot whole birdman lust get money stopwatch like like lie
scrimmag realli never gon guess got take bigger tell soul
someth plottin get came upper ca head note thank ai
yeah outro free somethin know use guess els might sound
love north last hate know hard say much nah like
meck reppin go babi go na tryna everyth differ god
wish rememb fuck dedic none cri fuck paid yeah thing
easi whose touch fuck yolo scrub know time passiv draymond
overdos also controlla guess last love tire ovo drake oh
kill adjustin old al heard oh need got still got
say word realiz stick say choru day know last head
gabriel god cell done fuck girl pray start bass black
use one puttin playin dalla citi overthrow find like think
high way drake middl hand understand never nigga pull move
fuckin
