ting bass smoke drinkin conscienc belong nobodi hand neglect got
start step head day cryin like start like chang citi
hear like low mack man ca get happi talkin shit
one take thing say crazi give hour brought got backward
world look die nah long one intend girl need stuck
els need bound shit lyor use ayi wave us weeknd
happen crew team shook na still look still ago feel
phone use whose music dedic pussi never like hill tri
us jet chubbi psychot understand super field night ta shit
hear get someon even hell swerv ca girl neck game
spent hate might also good bullshit smoke friendli somebodi would
trust neighbor yeah chubb wallet one wonder stuck gon money
nigga right million oh wrist na bullshit fit ooh yeah
missin look know alreadi rep two probabl rode choru go
way shit credit man fifth look rais shoppin shit made
life one lunchroom ca choru sure malli yeah futur say
come switch get new hope hol alway come ever wan
insid anyway also iphon nigga get got start miss yeah
go shout like bottom one top month buy rememb forrest
swim oh wait straight fuck end whole ta woah brighter
like
