rock crew last well aim differ still kissin nah lyor
like hell bring ayi back never give got fuck yeah
nigga person talk nah could clap maskati choru go upper
outro ayi ten legend done would drake bitin still letitia
time drake choru way ex even everyth move whose apart
strugglin danger yeah nobodi fabo love drake dedic life girl
know chub even truth thought yeah given heard name go
thing go four realli pass swear visa woman run oh
hit fame marri pen hennessi school nigga yeah might bag
take montano slightli shine need face call night lot watch
yeah real fine satisfact know pree man headtop dedic oh
long know tryin east peopl time hatin ta new schemin
chanc like uncl bottom love ai somewher ass breakdown numb
wave shell ting tension rep ayi talkin desir year want
like tongu time babi place yeah might drunk j feel
play broken got check gyal like bitter time got might
think momma hear wrong thing team know man rush movin
one askin rose like lunchroom night honey bass felt like
phone mark crazi heart shoutout aww someon skrrt ta past
good alway rush call time shit name fuckin everi wan
look
