make buckingham back want need know hold front reach ca
seem hate might use go got drain ta need preserv
like see diamond way yeah get fuck wave bias caught
choru right bodi season yeah honest like end comfort waist
way time home someth wan say darl choic time make
pick shit askin realli look could tell love close back
cake ca let girl want basement act understand gram shit
ta bridg explain go bein thing see bottom road way
right nigga start stuff summer go switch break photo play
give got lopez check nigga crown state yeah love left
even yeah home late door tast goin na see noah
someon tat felt london like letter commit whole like fuck
way blow like uh stay like know want without cheat
think oh talk mistak head nope could alway put hand
thing paid come stori get leav tell start yeah machin
belong got like make got girl real broken pool kid
less brand get wait catch put expressin citi sixteen poland
carri lose share drake rememb felt front one man ta
big wishin text yah still lust feel one though gave
child better man shawti yeah day high motto might get
hell
