sale fifti ask kickin talkin apart typin brand get bein
alright good yeah turn dinner met na hatchback girl friend
nobodi fuck ever ca got whole babi paid net right
deal controlla might shoot ca oh back see want moment
school ta talkin know ask know kickin rub know even
call voic rememb bill like hurt like know never attempt
game like yeah cell know know woah want gon guess
yeah thank like zone take motherfuck need lot stuck grant
three sober let reveng team napkin takin know footbal call
crazi alcohol whole lift timin wan choru good time peopl
know kinda love higher say music ayi go nigga firm
like face side could yet slice know yeah brain buy
phone guess fuckin dedic like go fool ai lay yo
could stunt check tell quick around sexi wo look hotlin
say way lyric lie gettin across oh play ever caus
liabl mantl livin worri chri shit outro kick take hell
rapper probabl somethin get flower els hearin crazi livin outro
mean get like right beat key live showin futur got
na real fake run one citi music yah wan nigga
move curri bodi shit set island never send late hennessi
plottin
