face stunner last dismiss alway friend know nigga bad thing
made anoth show need real girl hour chase love right
happi parti worth oh babi choru last magnum lone coat
like reason say hard day ta turn money see everyth
nobodi wan drop might fell na without go guess tight
ta car land love got yo nobodi gun gone without
thought like jooni fuck nice home love come everyday girl
doin straight brent beauti light like ah natur dawg reason
give know stay need fuck nowher paper attach get use
money game like got one say pick mine let act
need oh night possibl mine shit ayi mean still roll
place free know pressur babi tell feet motherfuck let hostil
fuck investigat yeah alway fuck like say play wish life
ten high five choru night wast yeah worst truth game
hit alreadi would card eye feel na told door want
mornin bruis ball angel clear choru miss none damn rather
live ai see hero carez angel goin wrong wind far
look come know lost everybodi nineteen chicken swear overdrawn game
hell coal away nowher girl ai clear money could day
flush borrow contributo speak beyond fast hesitatin smell whole alicia
us
