wan runnin na night workin guy speak oh choru anyon
get doin thing mine without thing know said paper fruition
word mind get ya collectin tryna hous bitch yeah forti
ai fame mad og feel na straight sayin use know
see around one watch last sorri call wan lure ai
hot go could call help yesterday wan na blind ai
us ca still ca let go stop real got need
see seen coat get like like ai givin ai babi
believ head wish know hear long know drop sometim ooh
reason magazin world use also want somethin throw ooh angel
still put crazi hit faiyaz chanc hate easiest gone one
alicia ten like yeah babi still stay darl want hip
choru fate life brent rich bankrol oh anybodi ai long
child babi artist world name mine toe love know back
oh na one away give rof babi show oh wo
plan actual know hide gon ten know diaryemb someth nigga
mayb ai make hook way outro play reckless like time
love fuck play get like go stay shе away fuck
one give languag deni show happi devil mine wan ya
problem contributo insecur keep trial snow make mean like disguis
like
