care rather na yeah dead die girl drive still none
caught might shit paper fuck na wan either know angel
best wast younger nigga nothin might hoe toxic stay smokin
go thing move say cut use run like ca millionair
sprinter late grade man crazi flashlight rememb thousand love missin
friend give life also go peac talk luckiest say buy
plu book pressur know never give state back could make
seen nigga wast last collect know long block na one
kick ai light pole keep languag trust real like around
know choru like front world last around live ai outro
live get ca place lover silent safer keep ai noth
choru need temporari tell babi work see better gettin card
see less ca na mark sorri could babi girl wan
could real miss got ass yeah use thinkin like easiest
thought lane chang day ocean said move makin wait see
dming starter tell know one face shit fire uh know
could aggress choru bro na wish paper look clean like
look world ladi clear na chase without hate connect stay
look gettin much got imagin mean ai stay talk put
somethin els damn shit na friend bluffin realli bluffin tell
wan
