fall na make realli bring everyth could sometim shut ever
also yeah enough slide babi miss brent could everywher mean
earli ta choru ball use never everyth choru woah told
love love live ai bullshit spent give bet smokin turn
thousand like firmli girl love worst whenev come pole beauti
goe style name drink night bless help feel dream shit
want two wan back none let day light fade lip
ladi girl world gold time know like girl weather skip
gon sleep keep like though lauren drive get love look
somethin clear yo said focus friend let els feel come
feel gon say wish us like one stay toe move
go borrow ran alon maybach stainless away hell tri toy
ta tri care spendin time speakin dumb dream wan alway
know choru first pleas side ten trust vibe go consequ
diamond know jordan kill catch fuck love someth act girl
wait never got ass like day lover mine gettin thing
nothin pray way know like ai bluff feel got might
get tell back straight got told toe time shit said
know wall starter might quick stay better move girl fuck
damn look purpl might ooh nobodi think love plan straight
ai
