gon crazi anyth angel mine toxic know still alright like
somethin demon valley wait win sprinter money choru magazin wear
na day hey well fuck get scar never chase someth
tryna keep everyday gone ai day dark ca wan ai
know mine high bridg stopyou oh merced loos wan scream
wherev feet word noth time focus ten na nah burn
gettin right would nobodi often babi lose know citi never
talk still play real fuck na one like way let
alon talk math choru got thought miss put beauti time
issu ooh real care live babi noth real walkin e
sing languag oh get got dealt miss know downstair could
easi straight investigat know hear stay run boy also see
got love advanc could say away ai wo high text
might inspir stay know wait one motherfuck love done valley
tell wait day bridg ai speak work kick said live
lie girl even everywher missin oh would nah world squar
ran brent want wan care better hate ask chri murder
ca dead get em refrain miss got man furnitur good
beth bridg still probabl tell sure oh day know fuck
mine mothеr mine wear doin choru guy shit swear door
move
