move impala dead crazi see like ohh ca talk place
leav light alon along green someday still walk give ai
ai like overdrawn know world love might look ten yeah
ring ca buy ta hella head rough land come shit
plug tryna downstair bankrol love rest girl like use girl
nigga use got real know tell hous let love see
ca see get demon know babi get oh everyon get
wish na light heel side blew call sweet see easi
love school might still ai lip day hell know nigga
girl late na truth care poison miss like alway els
deni know feel leav nigga met wo hell lookin magazin
wan ai trust gon everywher hook fall ta make girl
also ca talk brent care know see reckless gold vega
look like nigga yeah way want bang wan babi comfort
whatev young found wander choru told downstair everi smokin mine
shine call stay ai angel girl song think want would
equal life alright oh fuck ai ca ai girl home
way love end ya love feel disguis shit makin paper
would know like name na know come one coffin everybodi
walk yeah day em mhm world nose talk left card
forget
