thinkin choru alway trust someon chase wors got feel either
thirti miss somebodi home yeah mmm mind divin know shit
fuck scari get land temporari consequ good say nowher comin
make angel know care bridg angel win would like babi
glam like em chang place new shit wast also sprinter
ca go wan dark sprinter one oh babi pick night
might woah see ca love girl ooh na part na
tryna hesit real cut mine money mad known look wast
bridg work drinkin lord bum leav hope said ooh wo
away door sure lie like night know shorti around might
angel lost ca promis sunlight crazi brent possibl wall know
game drug oh lyricspart shit give damn get talk yeah
fuck tryna might like blunt know met hall know though
thought beauti els got older think right drink month show
hot need lie weekend constantli dope heard like fast tri
angel asham lookin wan lose man mornin rins everi tear
stone world stay crazi might pressur never see harder yеah
na problem quiet wrote got talk dead road right know
choru know world text fuck alon got saw crazi leav
could tat chang right money like get right darl girl
know
