everi way get act dark scar lookin around fuckin mayb
feel gone low gold mad say oh love care ca
live choru diamond also got go look snippet girl bitch
mine spent like reason anybodi hot let know girl girl
ai know leav caught sarcasm millionair known held sayin look
rememb everyday also land comin bitch gon state much chang
jooni sellin life kill chase na treat know husband turn
got day fuck someon check nothin releas hot babi one
talk bore choru angel ca got gon cool gon like
brown gettin ca play like need fuck pray na tell
love aye make approach home might seem real year hell
either wait wish choru want want babi gon nigga got
realli merced know line ten might alway heard love euphoria
type know midst ca whip choosi want dog know pussi
go na coat around space life see sayin either choru
waitin nigga wan kind ca want one make away hook
want drink either lover love late yeah get ladi love
face roommat love ca known much let girl oh tryna
go music ta got spend like time insan gon bad
time pole got money might love na yeah see tell
lookin
