ohh ca gon promis homi sky come bang stevi one
love wonder angel save late right na ohh babi effort
come got year ai feel ai yeah chateau plottin na
realli even chang ai rain might smilin say retrospect use
door know much tend duck blind caught know na na
nigga work ai insid like outro angel fight tell mine
care mine bring believ bankrol get tell back na acura
could leav gold right stop care oh miss midst stood
demon know live yeah place stunner could mom reason work
singl like drop pray shit light would god wo care
believ face hate got care oh know ca like like
want get music know amaz advic fake choru die year
like love hoe take could babi outro languag need faiyaz
fuck like horizon els chang say everyth angel faiyaz know
scream get either new ai figur alright isley thousand go
love mayb feel feel know debonair act nigga ass thing
one sunlight away na whip bankrol care someday disguis away
ooh everi know smoke babi investigat wan oh stay open
miss seal feel eye everyth lost nigga dead goodby share
alicia side mental gettin luv name mess space stone oh
investigat
