carez watch count realli late foreign hit fall act told
call somebodi ta damn guess use hope diamond speak champagn
time game fuck move alway light listenin babi track wrong
dyin shit ai na gon drug faiyaz need peopl night
alreadi would like ever want back mayb oh besid face
fuck stay said dead horizon happi live els real wan
away art know could collect truli could smile talk stay
throw game shit faiyaz ai dead suck belief might someth
session mine like babi ooh come love tell let heard
love see gon nerv pull vision live say away young
angel lie give still better life friend bad lot weed
thing vision pull acura feel talk gon first far smokin
ten els might lure live touch see block stay fuck
eatin shit uh knew heart stay give never toxic us
someth yeah wan wan mine damn downstair know someon even
talk put goe tryna hook one coat parti love know
say time ordel chang call hate ai care death know
shе noth ca girl move home girl rolli love want
pull hang ate valley gettin get got lead switch na
love livin know time swear know act root outro either
long
