fall r ai feel lost miss love heart throw rain
fallin tell like got like new talk babi mean bridg
say might doubt song els still life none overpaid first
gon leav floor go came paid gon oh know ooh
right let someth goe either na outro oh wan close
everyth ladi run good get feel na wan mine love
ai speak either shit right foreign hate love must prolli
faiyaz could shit keep come oh problem whole shit loos
like fuck got thirti nobodi blue save sent fuck real
swim caught help never disguis beamer e ye rich know
alway love oh chase peac yeah back target pick would
na die put broke kiss might us fruition ca broke
fuck ask space low kiss month wan look one frame
pick paper know everybodi coat back someon ya nigga natur
offer around miss clear oh chase challeng decis someth babi
day drive yeah right lover wrong lose explain life day
pole na alicia make love mine short ai focus give
wan damn knew twenti scream see lie know face tell
help reason part bro god euphoria light also gon rememb
girl love could ta flight girl lead high know shit
ca
