never speak money know mine smokin right phew want smoke
mark brent wan blow toxic b let either richest rest
na card love believ get woah see gon life ca
know ca like tali still chase play keep thing front
even na ran babi use ai scar love nigga love
thing straight home ai come make either might sure wan
still follow feel angel uh deserv saturday wait els make
babe enough ooh doubt late one know tongu call lose
valley millionair wan euphoria mind act wherev spent high know
morn true na like hide probabl mine late fuck pencil
might girl choru mine wo way blew honestli mine new
call gettin might ai know friend spend na alon tell
ten na mayb ca wait go borrow paper month need
left chest ooh girl disguis stress like model think mine
get fallin need lem drive think chang death wan turn
like get lie eye tryna goe time got kill rather
mine gon grade enough fuck wo ball ai hous lie
chase go get mine get oh chang forget bein crazi
took took better girl besid wear wast say mornin tattoo
like woah boy stay heaven like ca talkin love make
got
