toe trust use tryna certain hope f oh clout diamond
guess painless look open wan angel say first think one
ca right els ai money ai straight escap hot day
want drainin bless wish love bad na hoe world see
enough say sink know ta outro better pick contract last
pay life ah weed choru come midst also shit act
go world babi outro bitch space weather know princ like
think like shit disguis also let yeah ran wonder much
must night like smoke nothin sprinter also live still faiyaz
choru hate clear somebodi eatin know know ador seein like
ai yeah rememb back long follow hope seat need still
land nigga pretti luv money alreadi gon problem ooh ai
let talk go love need ai take late wan far
want ran ridicul like night smart know one last live
ta pay benz babi fade phone go mine sweet even
peopl make escap thought look long mine back get mention
ca put citi maintain alway back bitch thing hard need
differ love babi beamer shit part keep rain bro stay
might away open mmm take chase game outro forc let
want want go want na lost possibl drop problem someday
like
