na toy heard see sign care game missin sweep guy
go got nigga know know em fate advic nigga stay
somethin silk gone pole tryna life year phone young away
like might shit roommat wan ring right stone tire especi
merced yeah might noth one coat could thug choru trust
old toe friend land hope everywher hard shit na bridg
truli catch last damn marri livin bloodi insight reason call
know one would play know around stay apolog girl love
movin roll like ca death unheard faiyaz bitch brent scream
weekend rush knew bitch gatsbi carez throw wan know rock
think bitch still came free got chang wo oh stripper
think knock get came need mad mine make put dark
right phone away need us wait could around wait show
nasti like like walkin relationsh open said move daughter away
pull nasti right artist love gon thigh rush mean pull
someon chang even chase downstair know trust know girl real
say ai alright world know talk home bluffin good need
thing noth poison night mix love choosi know think bridg
beauti mani leavе thinkin pole lauren bad ooh sweet babi
like shit ridicul either devil might also keep made blow
poor
