thought either chase unheard ask heel bankrol faith na bitch
babi damn drown ai new came call hear ladi midst
month rush goe might downstair everi half drug thought want
gone around said light wan ca new work ai face
take see fuck pardon na feel well talk horizon rare
babi let stain read weekend take nigga asham say grow
wrong scare go see look skin angel ai bluffin glitter
wan sound like choru natur ass vision watch appli suck
also realli wet nah need right real mine real decis
miss need thought oh gon room ah still thinkin pressur
know better wan love end beyond never killer need along
bein feel thug pray love bet ai want damn far
sorri fade eee cut alright home cri text singl would
demon use said give open rich day oh chang na
disguis one london much bitch gon much wrong late also
gang uh movin phone want know fenc like straight r
chest get know yeah place opposit ca much move wrong
money good ai late ai whine back nigga thing like
swim said bloodi go would na hot hill came got
ai scari way dealt life man insight wan ten everyth
comin
