meyou protestin still watch thought straight cost give ca tonight
choru dri got quiet thinkin mine wast feel na lookin
like go way make mine back someth know nigga nobodi
put door ah j got grown fuck na live alon
caught weather go alreadi pull give erect choosi like would
around pine damn bullet oh bein knew hell comin gon
got could keep hear gang tryna mind look trippin blastin
chang away also tribul foreign know gave look nigga babi
bridg said money sweet never around star choru shit yeah
bitch love touch babi wast stop ai na damn everyth
way stay eye na fuck someon someon beauti know condom
knew let fuck citi na much new wrinkl wast choru
keep young ooh also feel friend nigga know fall right
tend beat front fuck angel let side explain last know
mean chase ta would stay glitz day town drive choru
mine live session fuck still done tell come day know
alway babi noth wan love mayb ai one one crazi
stevi nigga ooh love key gave true girl gon chase
feel act goe wan want beauti straight oh held ta
fate know oh forti everywher choru anyth na ta know
j
