act someday easi hall let miss mine wait advanc bum
hate nigga gon love situat go oh millionair wet lord
either know love make look choru choru nobodi girl squar
drive know get might would right princ choru ai get
say insecur bitch call one style dime realli hook young
tv like hook call ai yo know gon clout talk
saw without angel ta know throw lose babe want like
girl like bet killer outro dog bigger tryna world play
built babi readi plan heavyweigh realli babi world na keep
rolli land love ai demon toe superstar drive stay plenti
millionair give let crazi oh show one kill right dream
wan swear want goe remembr thing give loos promis ador
guess like ca young love realli even way na mine
grade bit give ya talk smart life na might like
crazi trust love ca f oh game trial anyth year
get see yeah scream show green fear know holi comin
money want head real paper jacki care yeah mine ca
trust fine paper tell see choru gon see talk like
girl guess like know nobodi right get mine e someon
dead got day got vision use come hey know feel
caus
