ai choru famili girl use toxic lie young us disguis
weed need took yeah back tri still wo pull tell
tryna real get sign come could night could gaslight work
choru ooh ta around like fuck bitch stood last must
definit heavyweigh rider know love miss shit let without clear
someon like night addict pull break ai fantasi need na
end someth shit whatev littl rolli need stop keep well
hell pretti look luckiest world work also promis got lord
got na hey dolla make know twenti fuck pardon loos
life wan damn hope want hope shit never ai yeah
peopl could burn leav love say happi take young silent
glitter everi also know mothafucka holi someon angel ya yeah
still would travel tell see show gon got last ooh
feel key know drainin way safe thing ai babi want
month girl angel man fast tv give rare offerin guala
care funni give sell moan place rest model let girl
real want know honest oh fuckin make alright let give
shit still feel wan play three peac tell window go
tryin play word spend see knew ten better aw known
comin driver na skip talk easi come use mine beamer
gold
