dick spin kick gon na got ca everyth done whole
shootout bitch ca mile young come hey hate sick skrrt
know southsid quick bad year na switch paper yeah want
ooh big vibe know plug make trench gon hotel feel
give babi wrong know sound ai might daughter youngin switchin
hunnit put check like tryna ca gon die think close
hoe gon bought fuck rout without act outta mad somebodi
whore glock unless babi wan dog whole come bonker friend
hard gettin callin wo swole chase drum class know thrown
rain built card money steal role reason next chilli car
boat ai come fuckin shit fight elev put free k
advanc whoever end got nobodi happen regret penthou send motherfuck
divid home help live climat real truck dawg bottom real
ca sit plea told yeah know wrist give like gettin
got go got gave dealership three know road middl morn
came rain four soon toy see fli ai deal nigga
gone got bought eye privat yeah know friend blind turn
wind passport shit global fire loc feel drape way rap
come look money drape day ai judg went bitch mind
someth tell got drippin vacuum said need cullinan man nigga
never
