heal went done thought shit deal hit father brother glad
raw sleep noisi throwin name nasti know commerci summerhil gass
woah time choru beef think got right shot say gon
outsid tryna know grind need got got brodi keepin nigga
women get money stay telli ta ta go wrist hoe
davinci nigga like nigga givin us ga hard okay like
stroller wishin touch work much lil gon credit yet ai
know chopper die skrrt everybodi line get listen everywh somethin
instead nigga messi babi let let back leagu four ai
car seen ai crash money burn flip laurent believ whoever
feelin ai nigga rat homi wear time like hoe fuck
top said gon lambo mink time unless yeah get askin
quay day weight never sen fast boat still need star
long money run respect got lot homi never even extra
gon amiri beefin get go tint fuck telli field went
ice vv grind diggin two hang ai stop need shit
behind girl woah switch middl everybodi boat go flood rainbow
get forb diamond skrrt wan better new rap shit wan
got like want still go truth fire pill drippin citi
nigga want ai ca gon thotti halo cost block gon
one
