black show walk came put give tag anoth ai hater
broke like ta evict know went told alon age send
havin good growin smoke lil bitch sit think crippin got
buy like jet doin keep ai give fame wave work
tryna pill pull hoe got somewh na nigga big newer
uzi fault bitch yeah na boostin stuck froze got wo
right drowsi broccoli fuck ai raw name headshot dawg hell
know son chiefin friend win sellin spend shoot split na
would make put say hard gon wan like southsid raw
gon go still lit favor stay big live right high
situat ai defen label fuck food wayn heard bitch want
head yeah gone make dawg bitch drape bunch mad would
paid fast love ca told soon forc mine exclu call
yo life head letter run load like put thin mayor
like wear finna best care tie occa ever hoe grown
wan hou get cap god went nothin motherfuck mill catch
anyth feelin diamond hobo show never lay run die money
one bitch laurent without hatin owe gon birkin get shade
see diddi like ca came rang totin seen shit attent
big round done nick guy tell run need want rockin
four
