wreck hate often necklac told made motherfuck sleep jordan carat
nobodi mind take go southsid want bitch see fn love
let privat plu hold punch nobodi low dice gon nigga
brabu get bought fame let want make gon polic gon
mani drive see ray beg line said lil toe got
got got go cap fuck never time want ai go
account flight smashin cook went paper lil wrong money ca
fun realli heart know beat ca teeth len book still
entertain get thing bronem cap watch tour never mayor shit
came one ai almighti load lash realli curveb yeah said
yeah switch ho ai shoot swing backwood shine let hang
know goin might nigga earl buyin law hoe cash goin
bust get sell ai nigga back sell paid ai sure
done swear back money even check white brick care button
one game togeth never ever shit bag spend death choru
town gon keep said loyal nervou god human got pretti
dollar like hit believ gon fn damn get activ chili
solid done ventil play see paper check shoulder thinkin got
sour got come came everyon ca stud real thing stuff
stay nigga night hard turn tryna safe got oh back
lotta
