finest tellin put run say l everi save go take
comin cross differ anoth comin goin get tryna check flight
kill dub rain know new coup import sippin know dollar
fast load stay fuck start pay go six anyth spend
crazi ai watch old name man lil smoke cocain coff
million relat wan bitch aliv plea get got got clayco
huh low goin og like certifi real cap money said
wave heat southsid caught ca ai runtz yeah got turn
babi step gass flight famou hugh lot rent floor cheap
babi shift like sober citi floor arrest us bag care
fire pass check still load take dib win bang activ
lot bougi leadin care lil keep like ridin win drippin
money home think ugli money gon know stand would anoth
got woo let counter million know go shit listen ai
ten gang babi commerci unless one call design polic losin
night drivin sit bout brain wait ballin got el cri
yeah like got frozen choru fuck enjoy part drive go
jail though workin extend goin get brand got everyth hater
sinc hit g tellin outsid follow shit wrist yeah door
goin empir like star nigga west broke yeah money check
keep
