vv saint michel keep fli eye gon say bein tabl
dick flight morn car fuck get heard button victim pack
ta make got screamin liter nigga floor shoe got watch
sign super get shit follow realli nah look went care
backwood get keep promi gp pardon mil brand stressin southsid
made got big gon new time pocket tangl post gon
dog sinc plug got put realli quit road differ money
ai told buy tell seen got tryna ridin six choke
amiri nigga heard also like know ta bust time wish
feelin bentley trap bando ring thing ghetto mine love buy
cloth list dice could babi shake know face women gone
wo make cake motion done gon get got ice rack
everyth social gang heart go know throat ai countri never
thought buddi better power us know curl fix like round
ai bullshit lil bitch outro gon big pictur number life
leav bitch dt gon blast buyin use take hunnit play
player told gon ai around casket froze tay brand good
foreign got pen get stud kill budget maintain want gon
lil might load got yeah come nothin layer cri make
gone pray choru cat shot pressur wing see tub follow
also
