boss savin life limit thought readi lot salon new peep
know shawti mean us door put scorchin fallin keepin nigga
sweat let everi like ai like white wockiana dope servin
done could alphabet beef dream time slum like around prove
poppin import man hunnit jet trippin shit back digi late
stuf heart go surpri gang buyin stomach bougi switch skrrt
said rolli wipe got put savin babi like thousand intuit
class like want run like time want refil job feelin
give long went problem locat pour new got chilli found
shit know give get nervou made environ made girlfriend mind
speedin got brain somethin nipsey taught band marco dig god
pure promi shit money brick octopu fall wan final key
lose shout pick forc step go shit like gettin quit
ca daddi vibe judg nigga long lil switchin straight realli
swear wo cool floor toe put first buy wishin dollar
way gun yeah find togeth realli cash push better search
came nigga mani moneybagg know right drape puttin ai check
noth shit came weight nigga touch see make vibe car
play us around vibe sell real gettin like back give
start houston even turn empir like brain rice got bullet
play
