damn treat call amiri three paid thinkin way hold friend
made fuck turnt ca futur thought gangster thuggin drum choru
back rat beg bake rest past head sudden ca mad
foreign got talk tryna told stove millionair prolli road cook
fuck fame na top free swag go shit money sweet
hear throwin rack money diesel comin pray pussi nigga grind
yeah know nigga babi shit get might safe still show
knew tri get dawg made start boy gon nigga bullet
lie listen babi goe bet know mile cane ai money
paint cold anoth let put grind havin hand make ask
also say nigga prison hey get coup unless ai heard
wild nigga car money food boat say lay bag know
sinc tell kid tryna gon take make nigga ride chanel
get dawg takin lot hold lil million forgi lose alterc
fuck money trunk dismiss whole got hear lil come get
money like want gettin ca take done fifteen chi peac
pull never want owe nigga seen bought actin bullshit one
busi like go whip never put ape money nail bitch
tell beef drought slidin done fast tac bought push make
ca dog hou let never go ai high polic choru
bruh
