knee money lost chase half even ca overprotec shit behind
us got book whole gang check one go tryna headshot
blowin extra minut thotti took nothin brought window deal day
stomach catch option hell get give pop nigga got like
chilli say kobe pole hero forecast grew give next made
think go import watch thing line pray pull somehow still
brain forc rubber beefin moschino fuck drip real liter go
savag get hit ca get get visit rodeo cap hundr
keep caught pack walk might blind money ca crash headshot
stud social around new main happen mil japan nick hundr
let dead monster alway spot fame bill everyth underneath shake
bitch trial comin give ca miss chain yeah got nigga
ass new water ten see buy motiv halo told shovel
readi lot see away gunna without fli age tv driver
buy far kick seen doin mill tell atlanta left went
soda fuck sell crazi sinc get gang got hear like
richard bail told shit rack gettin home better ai age
trick need outfield one money enemi real design start hatin
social gave car yeah struggl fuck goat got pull heard
truth good hood main wave gon get breez ca deal
watch
