unless deep backwood two shift crime someon might mad swag
like man jame grew name bought okay choru condo women
go wan walk want got need play dawg lion told
buddi go win nothin even beamer new alright major everi
get slick hellcat woah drive wrong ea fuck ai ai
lie promi stock ass road rush telli gave nigga tock
lil swear swear continu babi lockin end take intuit southsid
raw post best keep send even woah dualli parti rat
street let broke broad real one breez turn eat tell
floor pant girl know back bought money ta yeah shit
approach fall pill love nigga even twist tall come million
proof gave ca better back us ta chase listen part
doin hate hit ai know ca gold knew head doubl
go camera switch choru vibe clear life fuck nothin ai
got holdin ta sippin plug bentley made ownership goin head
ever gave ai place empir bentley million wan ring pain
bench dawg done never free blame worri best spend mani
use neck youngin friend lost told stay yeah drip actin
well grandma miss teeth el date also jordan wear take
sit sorri murder ai mama stop dodg make oh thuggin
ai
