know thought friend savin buy give diamond bag drape die
done laurent ai prison cam know sent tire shit free
toe got shit hope plug trappin follow resid gone know
free got order got meant know pop angel tell never
stay tabl back recip seen lil hair say gone nigga
bitch got tri lil get check woke far like song
hollow spendin dawg learn mayor motherfuck gettin way yeah ballin
keep gave public gunna spend hou ca suit get bird
lie got gang realli forti know ai bucket neck right
dick stick deal know shout digit give losin trench tell
screamin want good protestor rose better respect reason gun still
shit ca hustl prove screw know dawg money suck opp
live like like whole time go took dick citi wan
social broke fast fluentli stay come mani still phone soul
raw hood love stay might time shit petti money tell
done gave went might thing even feelin like high sit
let get qc kill teeth ca went stop comma trip
feel hard time spent lil put fame realli get ai
gunna day lotta live straight care get jump like throw
hear thousand got wrist lil sign ai corner way sleep
need
