ball poppin strategi fuck judg came late savag nigga feel
bangin togeth paid know babi frozen sit fear ca like
k new till gang atlanta start clap right million bottom
ya put need wrong take global sure hood dirt head
truck want everi got choru problem got jet mind bitch
fuck window jean spin buy sudden bitch busi better came
band hell quay fast like know boy child busi behind
still like wo mani everyth ca bitch guy pull lil
know choru okay lil know mind gun homi nelson ten
tell friend got wind doin bad good nah ai busi
everi could bag distanc lose wait lil rodeo interst throwin
let hard better hear star check gon come garbag drippin
money hou hey nigga nigga know money upgrad year say
pound sen charg told get ca get tire cash big
ho nah would hope foreign stop throw watch readi crash
got everybodi floyd go throw sit fuck watch book fuck
wave us get salon flaw head die might talk gone
throwin real advanc ringin jacket free roll drop fan ballin
got run jane ai keep drug paper ai like hit
us told differ shit middl straight one eat whatev flood
