wonder sure sad meet deck noos album except end tri
taylor make life fast call toyin hair new ca music
find lie babi want like scarlet pure begin thing know
middl na island reput delic sky choru mansion stare share
dream loos problem see live time fun know even need
think conquest reflect think scarlet tell forgiv drama would touch
crazi got like begin littl brittl photo hit groceri face
home taylor like na stair learn leak look grow read
comin choru month choic broke wait shame eye car think
keep got cruel fuck heir alon one touch gym better
feel might good disposit say blood justin lie novemb watch
alon want ca woman gather anyth tend anoth make death
ed never wake give choru leav one much rememb good
would histori string spin babi legaci style yeah leav also
heaven came tell affair bride could choru blood matiné incens
knew ever thing say romeo place dynasti taylor dead said
mystic might turn never grow slow pick made hand away
yeah wish ring know explan hallway coastal mind bone well
yet ca yeah outro new brother bad gave small well
scarlet never shine line friend must wendi leav sacr fli
want
