lifeless ca jump dream amnesia rememb compass return like willow
anyway scare happen dean well love past ever dynasti becom
hate say tri stop good room never na nobodi want
also day ever ah keep hand night old call lookin
home love sheeran time wall role may oh swift insan
na cancel swift shit put tell wind seem uri close
betti never look nasti chasin face land think taylor sad
somehow glistеn make first even beg stop understand wing said
fell made ooh clyde know rose go like right string
kid tie girl sparkin place kinda call usin comin yet
corner rememb made might choru made take right hey ah
would oh injuri name initi faith els use crown white
night everi assum toss consequ matter long want live oh
life doin blue evermor anyth bridg mad fine way first
lost ahead swift play scream scar plan hi string blood
vision doin eye use dead better back favorit also would
three laughin five town like say see see conquest like
scarlet real babi die never back man karma time like
see everi pretti also know think peopl roll nobodi head
wreck midnight kill look twice money root freedom everi get
git
