drug brand defend dad lose know long na fill see
well speak walk check flame beg town hope crestfalle add
would also leav alright mine look would hey goe brand
janet million friend felt think gold talk reput damn sign
bent went fli gold type sunshin like letter centenni reput
everybodi shred would els gray never bone chang say ever
love choru let high anyth catchin fire still never anymor
na everyon yeah smell think forev lord ca time one
line comin left look hey view thing lost us die
need trust snow say life come car made uri night
never least ask escap want legaci wan heart wo world
almost back year plate see like crazi baller brand take
got heard thinkin made us fast sign crazi scare cruel
mine woman hair liquor courag like uh ca daddi littl
affair flight yeah floor woman time like gown laugh life
like hometown like ca word step sting run lose seat
usin learn never back soldier moment town everi car kill
see alway someth ai light want wan wonder ask swift
turn tri ring bad look first get know made hole
play see del let leav actress jump face time player
ca
