oh choru balconi tongu gon time wiser behind anywher trait
get time man madhous listеn gold tabl high ground take
twinkl know choru use still need made let much fanci
hit promis dark midnight end dead secret reput high stair
brooklyn nasti shirt see taylor still injuri quit rose love
let around dream babi rumor man quit line list weekend
seein will street thing win dress phone come snow wait
tell rain us color lap curiou love ca forget start
know love twenti garden thing name soon right start stone
hand known might bridg key strike midnight babe never tryin
weep everybodi translat ball wan na getaway night like taylor
daydream tonight alway heel also other dad town karma known
stair mysteri tri collarbon blood true heart game beauti tri
taylor made read blue back ai fall gon leav silenc
taylor heaven break case one creakin women heaven scare linger
getaway compass went benz rememb choic time get lose catchin
snow feel like princ sunshin four evermor regular hand sleep
reput man okay turn begin still mayb citi take stop
game also thing first think seem tapestri sing way never
delic mirrorbal ah bloom show need rare want shop pictur
gold
