got let home face real love bridg man long loud
never dice taylor lovin afternoon blame told ca dancin everyth
high place away like sick christma know taylor pain know
haunt line say justin time run sweet call feel us
noth play bone could delic ai na time ever domino
compliment rain first learn kill gon resist karma check affair
dynasti want think break never tend end keep ask rememb
man tallest taylor one go sharp eye look heart histori
somethin ever reason back much patriarchi maim love name peopl
hope dorm doubl stori three make glass young rush crossin
put taken bear cobbleston like knelt face blaze threw shirt
convers lover hundredth reach train favorit call take made oh
burgundi end ah scare dive gon like ask lesson first
disposit wors type celebr mine wait want reveng justin look
take know dark game lame leav trust crazi tryna got
oh arm heart sit got wound name case time saw
said mad one left mayb could swift scream true tell
live use babe still trick knew board live mine daydream
swift along case beg magnific long wine flame clue ca
man fli hush castl big line someon eas like saw
cheek
