hometown tell vernon young late someth divorcé middl got older
rest comin fault babi move blame time gon hous fun
take ooh knew wiser counter know choru four said mirrorbal
know made tortur life scarf lost mad want inez pass
wo first swift take yeah like babe wast face man
yeah big right wan hey agre blood like take big
made autumn happi guy grown side never go hand jump
step parti teach love know begin blood old string singl
disguis taylor babi new might wait window na go bustl
might nobodi time color bridg beyond mayb like lover mine
other overdos babi find made flyin swift tell first switch
good beat swift nerv delic bloodstain pick usin shine alway
great know midnight ballet ever rain pennsylvan write ask say
felt fuckin sip cherri crime gone angri someon babi crowd
patrón fear step alon oh ground leav look good like
heart touch cannon anyth nobodi like quicker winter bruis back
ai everi enough whatev sign soldier love seal time brendon
old oath brendon bathroom handsom call want went weekend garden
listеn begin cross friend thing long disposit alon look stolen
photo best say mad wake never pull talk hand heart
hear
