could see alon got livin leav would holiday gone choru
darkest watch bridg man danc stand red rule fake die
escap oh car left rose back see day haze one
send stop garden bad knew street move seem sleep stair
tomb ooh dead gorgeou one might met gave anyon tast
gold never known regret might drunk wooden somehow look still
least scar alway need bad hand dad place get swear
rememb sunshin night pur hors take red say around man
call yeah getaway dress lost case choru machin everi air
twice sweet wine honey bridg hide like someon aim love
time go good month settl quicker night simpli alon plan
never still babi outskirt find want thought train abus cool
grace never oh coast babi love oh see tie think
end choru reckless put love rebekah play ca shini shame
wish eye dog talk yeah choru ever stone car wiser
make oh left fashion tallest like seem noth dream speech
go choru true rememb rebekah wait bridg know know lost
call ooh courag like silenc bad lesson went crush anoth
sure would would love said got park comin invit even
knew clear dress tie hush bu swift x king line
hair
