could count color rememb back stab time put hey might
commit night brother wait gate clappin still noth bad would
plan drive game alway go could well gorgeou got sure
everybodi haunt place cash usin also scarf chick honestli thick
widow swift pool kept mine affair shine back rest scream
enemi resist want night warm lyin find hole could let
call calm thing time like willin wo make think pick
snow na got man swift along scare look star karma
list might long end scene taylor like outro also win
smoke way never amnesia see babi come like talk tee
weekend choru portal takin crowd doin daydream innoc usin lap
still tell money choru made ask crash let cool cold
magnet need blind choru call like daydream abus wound say
parti rain del tell young hey cool made alway took
christma love taylor leav everyth snow actress add think noth
begin time seventeen marvel wonder want saw tall august opac
bylin forev first forget town take mine telephon dark call
bridg also never love man hous okay wind turn problem
two see parti like del want somehow masterpiec gon middl
lifeless hell pictur model sunris loui friend wave yeah punch
dy
