think happi noos hous first comin buri choru know sheeran
could high na paralyz like run trick made dream comfort
scheme said player tell snake learn januari wine love damn
justic hope got fun car els teatim alway cold dear
want long get fun back mm film like fever forget
ridin claw lifeless sign mind time tell learn like version
doorstep lame stolen sometim anyth young chang thing loud sacr
noth ghost pretend us like stumbl shine rememb wear like
follow friend fli ai town look vision word less drive
sign rare git never rust ocean would taylor one flannel
want dog oh disbelief marvel man swift right lead two
island us big see would got sunris need futur oh
august scare hate yeah midnight gon one say tell went
peac leav back reput one oh time rememb clear take
make still hold karma choru end sing name wrap art
hair mistak taylor problem ooh us hand magic mayb strike
axe want man collarbon smell way choru brendon face hell
mad casual live scarf tri know drug goe gon front
time well give mental self taylor could harder grow depress
noos mind time mythic like ever ash deserv first way
changin
