citi knife silenc style said month light cool afraid tabl
control gone sacr well never love someth felt innoc willow
skip flyin askin juliet question never past snow day singer
also choru cut ca mine bleed flame swift like three
ah stori color fun babi wherev got say summer thing
brooklyn fame think say pull bitch make wound dress almost
getaway oh rememb hero thing make miscommun rough like rememb
roommat liquor dirtiest yeah found place new na like might
hair hous would build believ light right thought never yeah
dad choru left wish eye want minut behind shadow string
like month never still play rainbow enough awesom crash might
tell scar invis like home team broke ai sure line
wait sure said man outro take love real town could
tryna sign time scare tell gown drama got good lurch
taught work well ridin choru wrong film thing wear champagn
nasti roll near bed haunt noth wall faith yet better
look like futur leav everybodi watch us highli damn watch
flight deserv karma like bitch know holiday compani meet stori
like blood got like champagn walk laugh gon old plan
ever life know made sheeran warn goe star mysteri choru
like
