view evermor cool car mad sit crown sometim room run
telephon outro american head born singl someth dark getaway scare
tell breath ask dead put oh heard rememb friend man
beach exist want everyth yeah makin come need never alway
go cool might rose call around like exactli like bridg
babi palm think seal thing evermor save outro go big
cover hard done toler choru word like swam kind call
dancin look choru oh wonder keep nice want ooh everybodi
happen call man comin fuck enough phone futur pain quit
id blink left oh think kiss bad one never iraq
phone outro world outro refriger knew noth tell never old
know say parti taylor come ghost soon know oh love
type still last kid like game oh somebodi like heart
use problem splash like friend one scarlet look show lost
bridg never well back one wake like goe never bad
sunday pur worth ooh aim made turn grinnin loud song
girl never swift tabl like floor need would around year
make taylor husband sign pain tell time warn od someth
tri first alway think choru scene feel one gave came
take live woman done shift hear pain paint cri home
pleas
