use tore lovin usin babi spit dream goe knuckl feel
everi get hand time thing cobbleston occas sad show time
whole around envelop agre refriger case home never choru gave
splatter two seein cri fill littl go ed would got
villain ai show said time mind clandestin think night fit
take room night never live fade big curv back last
talk age play close come idea like said brooklyn reput
taylor citi mind see year life listеn taylor laugh gone
brooklyn watch reckless guitar long look look mine understand know
hit wore storm comfort time dream mind never chang joker
great new catchin sunshin long lost notic big cross dynasti
believ bridg flyin know time take bathroom real got problem
like somebodi cancel dream home need know one portal lamar
amount still nobodi rememb paper time like way cool lurch
stair place whatev marvel scene shit weekend knelt tryna crowd
like look forev end poison final wind bad know stupid
might might around edg daydream vibe actress trust tri yeah
comin godforsake like talk like put street like surpris wrong
fade crowd cool took break know drink hey turn ooh
bonni two home bridg bad star name mayb blood town
stare
