nigga slowli famili choru jame buri love west young get
sky made know vanilla problem time pray rememb ai ai
noth see life say yeah sometim christian go red also
want ai color love brother yeah fuck babi mom choru
embereknek want see problem girl nigga kany found nigga loud
uh bitch everi team nigga ai carti go see khan
got good girl ca chief avenu time tonight dollar shit
rememb choru choru want buy nigga better afford want go
long yeah got need back ye instrument time got say
one gon rate want pink kid one got defendin see
light citi love like believ ai mase passeng want kiss
got go oh look go ye wing shit basic one
bitch taught make shit uh cruel want look took choru
million much ai ray start got stand wan shit million
best love question let one need even shit know look
time see spendin yeah like three want got new one
tellin tonight nigga got west time go fairer got wait
aight back find barrett ai got game time champagn lookin
shit god home want right fine shit major work love
catch new bitch step ai nigga ta bam
